Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
53,Exit long,2026-03-18 06:18,Stop,0.09967,10008.006,999.6997193,-4.2,-0.42,0,0.00,-3.2,-0.32,-131.97,-2.93
53,Entry long,2026-03-18 06:12,Long,0.09989,10008.006,999.6997193,-4.2,-0.42,0,0.00,-3.2,-0.32,-131.97,-2.93
54,Exit long,2026-03-18 07:03,Stop,0.09904,10067.451,999.7985588,-4.72,-0.47,0,0.00,-3.72,-0.37,-136.69,-3.04
54,Entry long,2026-03-18 06:59,Long,0.09931,10067.451,999.7985588,-4.72,-0.47,0,0.00,-3.72,-0.37,-136.69,-3.04
55,Exit long,2026-03-18 07:26,ST Flip,0.09901,10074.551,999.8991868,-4.42,-0.44,0.11,0.01,-3.52,-0.35,-141.1,-3.14
55,Entry long,2026-03-18 07:11,Long,0.09925,10074.551,999.8991868,-4.42,-0.44,0.11,0.01,-3.52,-0.35,-141.1,-3.14
56,Exit long,2026-03-18 09:33,ST Flip,0.09569,10395.01,1000.103912,-7.4,-0.74,0,0.00,-6.41,-0.64,-148.5,-3.30
56,Entry long,2026-03-18 09:07,Long,0.09621,10395.01,1000.103912,-7.4,-0.74,0,0.00,-6.41,-0.64,-148.5,-3.30
57,Exit long,2026-03-18 13:01,Stop,0.09375,10622.477,1000.212434,-6.35,-0.63,0,0.00,-5.36,-0.53,-154.86,-3.44
57,Entry long,2026-03-18 12:54,Long,0.09416,10622.477,1000.212434,-6.35,-0.63,0,0.00,-5.36,-0.53,-154.86,-3.44
58,Exit long,2026-03-18 13:54,ST Flip,0.09435,10663.254,1000.106593,3.97,0.40,10.2,1.02,-1.43,-0.14,-150.89,-3.35
58,Entry long,2026-03-18 13:21,Long,0.09379,10663.254,1000.106593,3.97,0.40,10.2,1.02,-1.43,-0.14,-150.89,-3.35
59,Exit long,2026-03-18 14:16,ST Flip,0.09486,10557.432,1000.316682,-0.84,-0.08,7.76,0.78,-1.32,-0.13,-151.73,-3.37
59,Entry long,2026-03-18 14:01,Long,0.09475,10557.432,1000.316682,-0.84,-0.08,7.76,0.78,-1.32,-0.13,-151.73,-3.37
60,Exit long,2026-03-18 14:35,Stop,0.09478,10482.18,999.475863,-7.97,-0.80,0,0.00,-6.97,-0.70,-159.7,-3.55
60,Entry long,2026-03-18 14:31,Long,0.09535,10482.18,999.475863,-7.97,-0.80,0,0.00,-6.97,-0.70,-159.7,-3.55
61,Exit long,2026-03-18 15:25,ST Flip,0.0949,10530.749,999.7893101,-2.42,-0.24,3.63,0.36,-1.95,-0.19,-162.12,-3.60
61,Entry long,2026-03-18 15:03,Long,0.09494,10530.749,999.7893101,-2.42,-0.24,3.63,0.36,-1.95,-0.19,-162.12,-3.60
62,Exit long,2026-03-18 18:01,ST Flip,0.09518,10569.707,1000.105676,3.91,0.39,9.68,0.97,-3.33,-0.33,-158.21,-3.52
62,Entry long,2026-03-18 16:14,Long,0.09462,10569.707,1000.105676,3.91,0.39,9.68,0.97,-3.33,-0.33,-158.21,-3.52
63,Exit long,2026-03-18 19:12,Stop,0.09489,10514.141,999.8948091,-4.21,-0.42,0,0.00,-3.21,-0.32,-162.41,-3.61
63,Entry long,2026-03-18 19:04,Long,0.0951,10514.141,999.8948091,-4.21,-0.42,0,0.00,-3.21,-0.32,-162.41,-3.61
64,Exit long,2026-03-18 20:11,ST Flip,0.09506,10516.352,999.6844211,-2,-0.20,2.58,0.26,-2.16,-0.22,-164.41,-3.65
64,Entry long,2026-03-18 19:29,Long,0.09506,10516.352,999.6844211,-2,-0.20,2.58,0.26,-2.16,-0.22,-164.41,-3.65
65,Exit long,2026-03-18 20:35,Stop,0.09515,10471.204,999.7905579,-5.45,-0.54,0,0.00,-4.46,-0.45,-169.86,-3.77
65,Entry long,2026-03-18 20:29,Long,0.09548,10471.204,999.7905579,-5.45,-0.54,0,0.00,-4.46,-0.45,-169.86,-3.77
66,Exit long,2026-03-18 21:04,Stop,0.09505,10496.483,999.8949706,-4.2,-0.42,0,0.00,-3.31,-0.33,-174.07,-3.87
66,Entry long,2026-03-18 21:01,Long,0.09526,10496.483,999.8949706,-4.2,-0.42,0,0.00,-3.31,-0.33,-174.07,-3.87
67,Exit long,2026-03-18 21:59,Stop,0.09493,10508.617,999.4745629,-3.89,-0.39,0.05,0.01,-2.89,-0.29,-177.95,-3.95
67,Entry long,2026-03-18 21:37,Long,0.09511,10508.617,999.4745629,-3.89,-0.39,0.05,0.01,-2.89,-0.29,-177.95,-3.95
68,Exit long,2026-03-18 22:28,Stop,0.09466,10537.407,1000.105298,-4.63,-0.46,0,0.00,-3.63,-0.36,-182.59,-4.06
68,Entry long,2026-03-18 22:17,Long,0.09491,10537.407,1000.105298,-4.63,-0.46,0,0.00,-3.63,-0.36,-182.59,-4.06
69,Exit long,2026-03-18 22:48,Stop,0.09473,10534.077,1000.10527,-4.21,-0.42,0,0.00,-3.32,-0.33,-186.8,-4.15
69,Entry long,2026-03-18 22:43,Long,0.09494,10534.077,1000.10527,-4.21,-0.42,0,0.00,-3.32,-0.33,-186.8,-4.15
70,Exit long,2026-03-18 23:18,RSI Exit,0.09531,10552.975,999.7888515,4.01,0.40,5.65,0.56,-2.06,-0.21,-182.79,-4.06
70,Entry long,2026-03-18 23:05,Long,0.09474,10552.975,999.7888515,4.01,0.40,5.65,0.56,-2.06,-0.21,-182.79,-4.06
71,Exit long,2026-03-19 01:24,Stop,0.09474,10531.858,999.7892799,-4,-0.40,0,0.00,-3,-0.30,-186.78,-4.15
71,Entry long,2026-03-19 01:21,Long,0.09493,10531.858,999.7892799,-4,-0.40,0,0.00,-3,-0.30,-186.78,-4.15
72,Exit long,2026-03-19 02:05,Stop,0.09445,10567.473,999.7886205,-3.69,-0.37,0,0.00,-2.8,-0.28,-190.47,-4.23
72,Entry long,2026-03-19 02:01,Long,0.09461,10567.473,999.7886205,-3.69,-0.37,0,0.00,-2.8,-0.28,-190.47,-4.23
73,Exit long,2026-03-19 03:02,ST Flip,0.0944,10570.824,999.9999504,-4.11,-0.41,0.9,0.09,-3.11,-0.31,-194.59,-4.32
73,Entry long,2026-03-19 02:40,Long,0.0946,10570.824,999.9999504,-4.11,-0.41,0.9,0.09,-3.11,-0.31,-194.59,-4.32
74,Exit long,2026-03-19 04:27,ST Flip,0.09425,10625.863,999.9999669,-0.51,-0.05,6.97,0.70,-3.23,-0.32,-195.1,-4.34
74,Entry long,2026-03-19 03:26,Long,0.09411,10625.863,999.9999669,-0.51,-0.05,6.97,0.70,-3.23,-0.32,-195.1,-4.34
75,Exit long,2026-03-19 04:52,Stop,0.09423,10570.824,999.5771174,-5.48,-0.55,0,0.00,-4.49,-0.45,-200.58,-4.46
75,Entry long,2026-03-19 04:42,Long,0.09456,10570.824,999.5771174,-5.48,-0.55,0,0.00,-4.49,-0.45,-200.58,-4.46
76,Exit long,2026-03-19 05:23,RSI Exit,0.09517,10587.612,1000.10583,5.51,0.55,8.95,0.89,-2.91,-0.29,-195.07,-4.33
76,Entry long,2026-03-19 05:08,Long,0.09446,10587.612,1000.10583,5.51,0.55,8.95,0.89,-2.91,-0.29,-195.07,-4.33
77,Exit long,2026-03-19 07:36,ST Flip,0.09398,10614.584,1000.21225,-4.65,-0.46,0,0.00,-3.65,-0.36,-199.73,-4.44
77,Entry long,2026-03-19 07:21,Long,0.09423,10614.584,1000.21225,-4.65,-0.46,0,0.00,-3.65,-0.36,-199.73,-4.44
78,Exit long,2026-03-19 10:19,ST Flip,0.09283,10772.379,999.8922188,-1.89,-0.19,9.34,0.93,-5.31,-0.53,-201.62,-4.48
78,Entry long,2026-03-19 09:22,Long,0.09282,10772.379,999.8922188,-1.89,-0.19,9.34,0.93,-5.31,-0.53,-201.62,-4.48
79,Exit long,2026-03-19 11:18,ST Flip,0.09286,10751.532,999.7849607,-3.4,-0.34,4.38,0.44,-2.61,-0.26,-205.01,-4.56
79,Entry long,2026-03-19 10:41,Long,0.09299,10751.532,999.7849607,-3.4,-0.34,4.38,0.44,-2.61,-0.26,-205.01,-4.56
80,Exit long,2026-03-19 12:11,ST Flip,0.09248,10775.862,1000.323269,-5.77,-0.58,1.48,0.15,-4.77,-0.48,-210.78,-4.68
80,Entry long,2026-03-19 11:50,Long,0.09283,10775.862,1000.323269,-5.77,-0.58,1.48,0.15,-4.77,-0.48,-210.78,-4.68
81,Exit long,2026-03-19 12:47,Stop,0.09238,10786.322,999.4605965,-5.02,-0.50,0,0.00,-4.99,-0.50,-215.8,-4.80
81,Entry long,2026-03-19 12:41,Long,0.09266,10786.322,999.4605965,-5.02,-0.50,0,0.00,-4.99,-0.50,-215.8,-4.80
82,Exit long,2026-03-19 13:39,ST Flip,0.09228,10849.517,999.9999819,-0.81,-0.08,5.62,0.56,-1.33,-0.13,-216.61,-4.81
82,Entry long,2026-03-19 13:18,Long,0.09217,10849.517,999.9999819,-0.81,-0.08,5.62,0.56,-1.33,-0.13,-216.61,-4.81
83,Exit long,2026-03-19 14:18,ST Flip,0.09274,10786.322,1000.107776,-1.78,-0.18,2.88,0.29,-1.32,-0.13,-218.39,-4.85
83,Entry long,2026-03-19 13:51,Long,0.09272,10786.322,1000.107776,-1.78,-0.18,2.88,0.29,-1.32,-0.13,-218.39,-4.85
84,Exit long,2026-03-19 15:03,RSI Exit,0.09323,10778.184,999.5687842,3.28,0.33,5.47,0.55,-1.43,-0.14,-215.11,-4.78
84,Entry long,2026-03-19 14:57,Long,0.09274,10778.184,999.5687842,3.28,0.33,5.47,0.55,-1.43,-0.14,-215.11,-4.78
85,Exit long,2026-03-19 15:51,Stop,0.09329,10675.776,999.9999379,-6.05,-0.60,0,0.00,-5.06,-0.51,-221.17,-4.91
85,Entry long,2026-03-19 15:48,Long,0.09367,10675.776,999.9999379,-6.05,-0.60,0,0.00,-5.06,-0.51,-221.17,-4.91
86,Exit long,2026-03-19 16:43,ST Flip,0.0935,10689.47,999.7861291,-2.32,-0.23,1.99,0.20,-2.71,-0.27,-223.49,-4.97
86,Entry long,2026-03-19 16:20,Long,0.09353,10689.47,999.7861291,-2.32,-0.23,1.99,0.20,-2.71,-0.27,-223.49,-4.97
87,Exit long,2026-03-19 17:14,Stop,0.09364,10660.98,1000.319753,-4.02,-0.40,0,0.00,-3.24,-0.32,-227.51,-5.06
87,Entry long,2026-03-19 17:09,Long,0.09383,10660.98,1000.319753,-4.02,-0.40,0,0.00,-3.24,-0.32,-227.51,-5.06
88,Exit long,2026-03-19 18:02,Stop,0.09348,10666.666,999.5732709,-4.45,-0.44,0,0.00,-3.56,-0.36,-231.96,-5.15
88,Entry long,2026-03-19 17:56,Long,0.09371,10666.666,999.5732709,-4.45,-0.44,0,0.00,-3.56,-0.36,-231.96,-5.15
89,Exit long,2026-03-19 19:19,ST Flip,0.09347,10694.043,999.5721992,-2,-0.20,1.67,0.17,-1.86,-0.19,-233.96,-5.20
89,Entry long,2026-03-19 19:00,Long,0.09347,10694.043,999.5721992,-2,-0.20,1.67,0.17,-1.86,-0.19,-233.96,-5.20
90,Exit long,2026-03-19 19:35,Stop,0.09338,10676.916,1000.106722,-5.09,-0.51,0,0.00,-4.1,-0.41,-239.05,-5.31
90,Entry long,2026-03-19 19:29,Long,0.09367,10676.916,1000.106722,-5.09,-0.51,0,0.00,-4.1,-0.41,-239.05,-5.31
