Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
39,Exit long,2026-02-09 04:04,ST Flip,1.63,581,1010.94,-65.87,-6.51,16.42,1.62,-64.92,-6.42,-970.02,-21.56
39,Entry long,2026-02-06 15:53,Long,1.74,581,1010.94,-65.87,-6.51,16.42,1.62,-64.92,-6.42,-970.02,-21.56
40,Exit long,2026-02-10 08:10,ST Flip,1.82,555,1026.75,-18.69,-1.82,259.82,25.28,-34.33,-3.34,-988.7,-21.97
40,Entry long,2026-02-09 08:47,Long,1.85,555,1026.75,-18.69,-1.82,259.82,25.28,-34.33,-3.34,-988.7,-21.97
41,Exit long,2026-02-12 08:38,Stop,1.56,502,998.98,-217.64,-21.76,0,0.00,-267.06,-26.71,-1206.35,-26.81
41,Entry long,2026-02-12 05:57,Long,1.99,502,998.98,-217.64,-21.76,0,0.00,-267.06,-26.71,-1206.35,-26.81
42,Exit long,2026-02-13 07:22,Stop,1.46,529,751.18,19.64,2.61,20.41,2.71,-16.62,-2.21,-1186.71,-26.37
42,Entry long,2026-02-13 07:12,Long,1.42,529,751.18,19.64,2.61,20.41,2.71,-16.62,-2.21,-1186.71,-26.37
43,Exit long,2026-02-17 09:30,ST Flip,1.64,581,987.7,-36.8,-3.72,86.16,8.71,-35.85,-3.63,-1223.51,-27.19
43,Entry long,2026-02-13 15:21,Long,1.7,581,987.7,-36.8,-3.72,86.16,8.71,-35.85,-3.63,-1223.51,-27.19
44,Exit long,2026-02-18 12:08,Stop,1.7,549,960.75,-29.34,-3.05,26.49,2.75,-39.39,-4.10,-1252.85,-27.84
44,Entry long,2026-02-18 09:39,Long,1.75,549,960.75,-29.34,-3.05,26.49,2.75,-39.39,-4.10,-1252.85,-27.84
45,Exit long,2026-02-20 10:09,ST Flip,1.63,571,1004.96,-76.17,-7.57,0,0.00,-86.65,-8.61,-1329.02,-29.53
45,Entry long,2026-02-19 09:48,Long,1.76,571,1004.96,-76.17,-7.57,0,0.00,-86.65,-8.61,-1329.02,-29.53
46,Exit long,2026-02-20 15:22,ST Flip,1.71,578,999.94,-13.55,-1.35,10.56,1.06,-53.02,-5.30,-1342.57,-29.83
46,Entry long,2026-02-20 10:16,Long,1.73,578,999.94,-13.55,-1.35,10.56,1.06,-53.02,-5.30,-1342.57,-29.83
47,Exit long,2026-02-23 11:55,ST Flip,1.64,561,1004.19,-86.07,-8.56,0,0.00,-85.15,-8.47,-1428.64,-31.75
47,Entry long,2026-02-20 16:03,Long,1.79,561,1004.19,-86.07,-8.56,0,0.00,-85.15,-8.47,-1428.64,-31.75
48,Exit long,2026-02-24 07:44,Stop,1.71,502,963.84,-107.24,-11.12,0,0.00,-151.56,-15.71,-1535.89,-34.13
48,Entry long,2026-02-24 06:26,Long,1.92,502,963.84,-107.24,-11.12,0,0.00,-151.56,-15.71,-1535.89,-34.13
